"","text"
"1","banyak diskon non, yuk merapat @gopayindonesia @PromoMakanan @gojekindonesia https://t.co/5DNDNj6E3K"
"2","@gojekindonesia Keterlaluan dan kuno banget ini @gopayindonesia narik dana saja bisa 2x24 jam kayak jaman batu aja kalian"
"3","@gopayindonesia saya sudah DM tolong dibantu donk min"
"4","@gopayindonesia tolong ya min, dana saya sudah 1x24 jam belum masuk ke rekening penarikan dari saldo gopay. Sudah saya DM barbuk"
"5","@gopayindonesia maximum TopUp saldo gopay berapakah ya min per-hari"
"6","Notifnya gagal, eh malah rekening ke debet ampe 3x <U+0001F613> @gopayindonesia @gojekindonesia https://t.co/dqU51cHybM"
"7","@gopayindonesia mau nanya dong. Utk belanja di Alfamart menggunakan gopay, selain akunnya blm prnh pake gopay di Alfamart, s &amp; k apa lagi? https://t.co/POUSipz8nV"
"8","@gopayindonesia halo, kenapa nomor laporan keluhan 06556068 lama sekali diproses?"
"9","@gopayindonesia Trims"
"10","@gojekindonesia @gopayindonesia mas/mbak saya mau upgrade gopay kenapa muncul tulisan kayak gini ya? Padahal saya belum upload dokumennya? Makasih https://t.co/tY3aRafP1l"
"11","@PakAjiMumpung @alfamart @gopayindonesia @Indomaret @ovo_id Pak saya juga butuh gerakan atm tanpa tukang parkir, bt abis kl uang lg sekarat pgn ke atm eh atmnya rusak tp ada tukang parkir. Dpt duit kaga ngeluarin iya #2019AjiMumpung"
"12","Ini @danasupport n @danawallet ada orangnya gak sih? Twitter n email gak dibales. Gimana mau bersaing sama @gopayindonesia n @ovo_id kalo begini? CC @MediaKonsumenID"
"13","@__MRaZ @gopayindonesia Padahal kena admin 2500 masih delay ,apalagi free kali ya , , ,tetangga sebalah free realtime"
"14","Hallo admin selamat siang ,untuk witdraw butuh brp lama ya @gopayindonesia"
"15","@__MRaZ @gopayindonesia Sebetulnya siq engga terlalu masalah kalo adm ,cuma gak realtime aja dan ane pengguna lama gojek cuma baru verifikasi ktp gopay ,"
"16","@__MRaZ @gopayindonesia Bukan akun driver bang ,cuma ada transaksi org bayar via gopay ,"
"17","@gopayindonesia Ok min terimksh ,cukup lama juga ya min ,ttga sebelah realtime :)"
"18","@nobacot_store @gopayindonesia WD dari akun driver bang??

Kalo dari akun driverku sejauh ini pengalaman WD selalu realtime masuk langsung ke akun Rekpon.

Gak pernah delay.
WD jam berapapun."
"19","@nobacot_store @gopayindonesia Oiya, kalo gopay akun CS ada potongan.

Makanya kalo gopay CS aku gak pernah WD.
Mending cairin dengan cara jual bentuk gopay aja. <U+0001F602>"
"20","Uda terlanjur menggebu-gebu belanja di @alfamart bayarnya pake @gopayindonesia hari ini.

Karena kirain cashback 30%.
Ternyata cuma 10% <U+0001F602><U+0001F62D>

Bikin promo terlalu banyak rules ya gini. Pake acara 30% di akhir bulan segala. Ppfftt <U+0001F914> https://t.co/xet77leNK0"
"21","Ngupi duluuu<U+0001F92D>
Dari awal bulan rutin kesini berkat gopay<U+270C><U+0001F3FC><U+0001F62D><U+0001F605><U+0001F602> biasanya cuman lewat doang makasi @gopayindonesia @gojekindonesia https://t.co/CDS4OT1pGX"
"22","@gopayindonesia @PakAjiMumpung Saya belanja 1000 bisa dpt cashback 15 rb ?"
"23","@gopayindonesia @PakAjiMumpung Min, sy sudah dpt vochernya. Ini bisa dipakai tanpa ada minimal pembelian ? Misal belanja di alfa sebesar 5k, ttp dpt cashback 15k ?"
"24","@gojekindonesia kemarin malam menuju jl.kelud semarang kena potong 2 x pakai @gopayindonesia kok bisa ya padahal hanya satu terpakai yg satunya batal"
"25","@gopayindonesia thank you 
Bisa lebih hemat belanja di Alafa Mart https://t.co/n1UFkytkkv"
"26","ayo @ovo_id @gopayindonesia perang promo https://t.co/HRO0fpT7Ji"
"27","@PakAjiMumpung @gopayindonesia Mari barisan tanggal 3 merapat!
#2019AjiMumpung"
"28","@gopayindonesia saya tarik saldo gopay di aplikasi customer ke rekening mitra Gojek, kenapa tdk bisa y min.. <U+0001F914>"
"29","@gojekindonesia @gopayindonesia https://t.co/IhE93kcmzB"
"30","@gojekindonesia @gopayindonesia https://t.co/7e1XabNnxP"
"31","@gopayindonesia @katalogpromosi @gojekindonesia https://t.co/CX5ivPHcbf"
"32","@gopayindonesia Menjadi 150rb &amp; diinfo at TDK BERHAK mendapat voucher cashback 40% LOTTEMART
<U+0001F44F><U+0001F44F><U+0001F44F>
Hebat sekali, apakah @gopayindonesia sekarang TIPU TIPU ??!!
Saya minta tolong penjelasan nya!
SS DM terlampir https://t.co/h1H4WZhux1"
"33","@gopayindonesia Dear @gopayindonesia apakah TIPU TIPU ?! saya kecewa dgn promo cashback 40% Lottemart tgl 4-10 Februari 19,info dr @katalogpromosi min belanja 50.000,
CS Lottemart info 1 x 24 jam akan saya terima voucher cashback 40% diakun @gojekindonesia"
"34","Menjadi 150rb &amp; diinfo at TDK BERHAK mendapat voucher cashback 40% LOTTEMART
<U+0001F44F><U+0001F44F><U+0001F44F>
Hebat sekali, apakah @gopayindonesia sekarang TIPU TIPU ??!!
Saya minta tolong penjelasan nya!
SS DM terlampir https://t.co/qWi8ulGAbV"
"35","TGL 8/2/19 saya belanja di Lottemart Green Pramuka Square  50rb ,
Tgl 9/2/19 (lewat 24 jam) dy  belum terima vchr cashback &amp; menanyakan voucher cashback saya ,  DM Twitter @gopayindonesia  ,
Jawaban dr CS FR sangat mengejutkan Krn tiba tiba min TRX berubah"
"36","@gopayindonesia https://t.co/tsjeZbYVuT"
"37","@gopayindonesia @gojekindonesia 
Koq bisa ya min @gopayindonesia sebelum dan pas transaksi, saya diinfo minimal transaksi 50.000 , pas udah transaksi, pet 24 jam dan Sy minta hak voucher cashback sy via DM tiba tiba min transaksi jd 150rb <U+0001F62D>"
"38","@gopayindonesia https://t.co/v0edFe6Tzw"
